code,description,PHA,PHO,PUN,PBL,PDL,PMB
site,site name,Harvard Forest,Howland Forest,UNDERC,Billy's Lake,Deming Lake,Minden Bog
lon,"longitude, degrees",-72.18,-68.73,-89.53,-94.58,-95.17,-82.83
lat,"latitude, degrees",42.54,45.25,46.22,46.28,47.17,43.61
vegtype,Ramankutty and Foley biome classification,5,8,8,8,8,4
vegtype_long,Ramankutty and Foley biome classification,Temperate deciduous forest/woodland,Evergreen/deciduous mixed forest/woodland,Evergreen/deciduous mixed forest/woodland,Evergreen/deciduous mixed forest/woodland,Evergreen/deciduous mixed forest/woodland,Temperate needleleaf evergreen forest/woodland
il,Impermeable layer,0,0,0,0,0,0
issoil,Soil or non-soil unit,1,1,1,1,1,1
ref_depth,Reference soil depth,100,100,100,100,100,100
roots,Obstacles to roots,0,0,0,0,0,0
s_cec_clay,Subsoil CEC (clay),52,63,63,63,63,31
s_clay,Subsoil clay fraction,4,5,5,20,20,25
s_gravel,Subsoil gravel content,3,5,5,4,4,4
s_oc,Subsoil organic carbon,0.51,0.59,0.59,0.25,0.25,0.4
s_ph_h2o,Subsoil pH,4.8,4.8,4.8,5.3,5.3,5.2
s_ref_bulk,Subsoil reference bulk density,1.73,1.7,1.7,1.4,1.4,1.38
s_sand,Subsoil sand fraction,86,84,84,37,37,41
s_silt,Subsoil silt fraction,10,11,11,43,43,34
s_usda_tex,Subsoil USDA texture classification,12,12,12,9,9,9
soil_code,Soil mapping unit code,92,91,91,87,87,4
t_cec_clay,Topsoil CEC (clay),73,98,98,48,48,24
t_clay,Topsoil clay fraction,5,4,4,11,11,21
t_gravel,Topsoil gravel fraction,3,4,4,1,1,2
t_oc,Topsoil organic carbon,2.08,2.09,2.09,1.2,1.2,1.25
t_ph_h2o,Topsoil pH,4.3,4.5,4.5,5.4,5.4,5.1
t_ref_bulk,Topsoil reference bulk density,1.7,1.73,1.73,1.49,1.49,1.4
t_sand,Topsoil sand fraction,85,85,85,35,35,40
t_silt,Topsoil silt fraction,10,11,11,54,54,39
t_usda_tex,Topsoil USDA texture classification,12,12,12,7,7,9
