"lon","lat","latlon"
-72.25,42.75,"lat42.75lon-72.25"
-68.75,45.25,"lat45.25lon-68.75"
-89.75,46.25,"lat46.25lon-89.75"
-94.75,46.25,"lat46.25lon-94.75"
-95.25,47.25,"lat47.25lon-95.25"
-82.75,43.75,"lat43.75lon-82.75"
-97.25,37.75,"lat37.75lon-97.25"
-87.25,37.75,"lat37.75lon-87.25"
-77.25,37.75,"lat37.75lon-77.25"
-97.25,47.75,"lat47.75lon-97.25"
-77.25,47.75,"lat47.75lon-77.25"
-67.25,47.75,"lat47.75lon-67.25"
-92.25,42.75,"lat42.75lon-92.25"
-82.25,42.75,"lat42.75lon-82.25"
-92.25,37.75,"lat37.75lon-92.25"
-82.25,37.75,"lat37.75lon-82.25"
-97.25,42.75,"lat42.75lon-97.25"
-77.25,42.75,"lat42.75lon-77.25"
-92.25,47.75,"lat47.75lon-92.25"
-82.25,47.75,"lat47.75lon-82.25"
-72.25,47.75,"lat47.75lon-72.25"
-99.75,35.25,"lat35.25lon-99.75"
-94.75,35.25,"lat35.25lon-94.75"
-89.75,35.25,"lat35.25lon-89.75"
-84.75,35.25,"lat35.25lon-84.75"
-79.75,35.25,"lat35.25lon-79.75"
-99.75,40.25,"lat40.25lon-99.75"
-94.75,40.25,"lat40.25lon-94.75"
-89.75,40.25,"lat40.25lon-89.75"
-84.75,40.25,"lat40.25lon-84.75"
-79.75,40.25,"lat40.25lon-79.75"
-74.75,40.25,"lat40.25lon-74.75"
-99.75,45.25,"lat45.25lon-99.75"
-94.75,45.25,"lat45.25lon-94.75"
-89.75,45.25,"lat45.25lon-89.75"
-84.75,45.25,"lat45.25lon-84.75"
-79.75,45.25,"lat45.25lon-79.75"
-74.75,45.25,"lat45.25lon-74.75"
-69.75,45.25,"lat45.25lon-69.75"
-64.75,45.25,"lat45.25lon-64.75"
-97.25,35.25,"lat35.25lon-97.25"
-92.25,35.25,"lat35.25lon-92.25"
-87.25,35.25,"lat35.25lon-87.25"
-82.25,35.25,"lat35.25lon-82.25"
-77.25,35.25,"lat35.25lon-77.25"
-99.75,37.75,"lat37.75lon-99.75"
-94.75,37.75,"lat37.75lon-94.75"
-89.75,37.75,"lat37.75lon-89.75"
-84.75,37.75,"lat37.75lon-84.75"
-79.75,37.75,"lat37.75lon-79.75"
-97.25,40.25,"lat40.25lon-97.25"
-92.25,40.25,"lat40.25lon-92.25"
-87.25,40.25,"lat40.25lon-87.25"
-82.25,40.25,"lat40.25lon-82.25"
-77.25,40.25,"lat40.25lon-77.25"
-99.75,42.75,"lat42.75lon-99.75"
-94.75,42.75,"lat42.75lon-94.75"
-89.75,42.75,"lat42.75lon-89.75"
-84.75,42.75,"lat42.75lon-84.75"
-74.75,42.75,"lat42.75lon-74.75"
-97.25,45.25,"lat45.25lon-97.25"
-92.25,45.25,"lat45.25lon-92.25"
-77.25,45.25,"lat45.25lon-77.25"
-72.25,45.25,"lat45.25lon-72.25"
-67.25,45.25,"lat45.25lon-67.25"
-99.75,47.75,"lat47.75lon-99.75"
-94.75,47.75,"lat47.75lon-94.75"
-84.75,47.75,"lat47.75lon-84.75"
-79.75,47.75,"lat47.75lon-79.75"
-74.75,47.75,"lat47.75lon-74.75"
-69.75,47.75,"lat47.75lon-69.75"
-98.25,36.75,"lat36.75lon-98.25"
-96.75,36.75,"lat36.75lon-96.75"
-95.25,36.75,"lat36.75lon-95.25"
-93.75,36.75,"lat36.75lon-93.75"
-90.75,36.75,"lat36.75lon-90.75"
-89.25,36.75,"lat36.75lon-89.25"
-87.75,36.75,"lat36.75lon-87.75"
-86.25,36.75,"lat36.75lon-86.25"
-83.25,36.75,"lat36.75lon-83.25"
-81.75,36.75,"lat36.75lon-81.75"
-80.25,36.75,"lat36.75lon-80.25"
-78.75,36.75,"lat36.75lon-78.75"
-98.25,38.25,"lat38.25lon-98.25"
-96.75,38.25,"lat38.25lon-96.75"
-95.25,38.25,"lat38.25lon-95.25"
-93.75,38.25,"lat38.25lon-93.75"
-90.75,38.25,"lat38.25lon-90.75"
-89.25,38.25,"lat38.25lon-89.25"
-87.75,38.25,"lat38.25lon-87.75"
-86.25,38.25,"lat38.25lon-86.25"
-83.25,38.25,"lat38.25lon-83.25"
-81.75,38.25,"lat38.25lon-81.75"
-80.25,38.25,"lat38.25lon-80.25"
-78.75,38.25,"lat38.25lon-78.75"
-75.75,38.25,"lat38.25lon-75.75"
-98.25,39.75,"lat39.75lon-98.25"
-96.75,39.75,"lat39.75lon-96.75"
-95.25,39.75,"lat39.75lon-95.25"
-93.75,39.75,"lat39.75lon-93.75"
-90.75,39.75,"lat39.75lon-90.75"
-89.25,39.75,"lat39.75lon-89.25"
-87.75,39.75,"lat39.75lon-87.75"
-86.25,39.75,"lat39.75lon-86.25"
-83.25,39.75,"lat39.75lon-83.25"
-81.75,39.75,"lat39.75lon-81.75"
-80.25,39.75,"lat39.75lon-80.25"
-78.75,39.75,"lat39.75lon-78.75"
-75.75,39.75,"lat39.75lon-75.75"
-98.25,41.25,"lat41.25lon-98.25"
-96.75,41.25,"lat41.25lon-96.75"
-95.25,41.25,"lat41.25lon-95.25"
-93.75,41.25,"lat41.25lon-93.75"
-90.75,41.25,"lat41.25lon-90.75"
-89.25,41.25,"lat41.25lon-89.25"
-87.75,41.25,"lat41.25lon-87.75"
-86.25,41.25,"lat41.25lon-86.25"
-83.25,41.25,"lat41.25lon-83.25"
-81.75,41.25,"lat41.25lon-81.75"
-80.25,41.25,"lat41.25lon-80.25"
-78.75,41.25,"lat41.25lon-78.75"
-75.75,41.25,"lat41.25lon-75.75"
-74.25,41.25,"lat41.25lon-74.25"
-98.25,44.25,"lat44.25lon-98.25"
-96.75,44.25,"lat44.25lon-96.75"
-95.25,44.25,"lat44.25lon-95.25"
-93.75,44.25,"lat44.25lon-93.75"
-90.75,44.25,"lat44.25lon-90.75"
-89.25,44.25,"lat44.25lon-89.25"
-87.75,44.25,"lat44.25lon-87.75"
-86.25,44.25,"lat44.25lon-86.25"
-80.25,44.25,"lat44.25lon-80.25"
-75.75,44.25,"lat44.25lon-75.75"
-74.25,44.25,"lat44.25lon-74.25"
-72.75,44.25,"lat44.25lon-72.75"
-71.25,44.25,"lat44.25lon-71.25"
-65.25,44.25,"lat44.25lon-65.25"
-98.25,45.75,"lat45.75lon-98.25"
-96.75,45.75,"lat45.75lon-96.75"
-95.25,45.75,"lat45.75lon-95.25"
-93.75,45.75,"lat45.75lon-93.75"
-90.75,45.75,"lat45.75lon-90.75"
-89.25,45.75,"lat45.75lon-89.25"
-87.75,45.75,"lat45.75lon-87.75"
-78.75,45.75,"lat45.75lon-78.75"
-75.75,45.75,"lat45.75lon-75.75"
-74.25,45.75,"lat45.75lon-74.25"
-72.75,45.75,"lat45.75lon-72.75"
-71.25,45.75,"lat45.75lon-71.25"
-68.25,45.75,"lat45.75lon-68.25"
-66.75,45.75,"lat45.75lon-66.75"
-63.75,45.75,"lat45.75lon-63.75"
-62.25,45.75,"lat45.75lon-62.25"
-98.25,47.25,"lat47.25lon-98.25"
-96.75,47.25,"lat47.25lon-96.75"
-93.75,47.25,"lat47.25lon-93.75"
-83.25,47.25,"lat47.25lon-83.25"
-81.75,47.25,"lat47.25lon-81.75"
-80.25,47.25,"lat47.25lon-80.25"
-78.75,47.25,"lat47.25lon-78.75"
-75.75,47.25,"lat47.25lon-75.75"
-74.25,47.25,"lat47.25lon-74.25"
-72.75,47.25,"lat47.25lon-72.75"
-71.25,47.25,"lat47.25lon-71.25"
-68.25,47.25,"lat47.25lon-68.25"
-66.75,47.25,"lat47.25lon-66.75"
-65.25,47.25,"lat47.25lon-65.25"
-98.25,48.75,"lat48.75lon-98.25"
-96.75,48.75,"lat48.75lon-96.75"
