num,lon,lat,latlon,notes,location,spininital,spinfinish,runs,transferred
1,-72.25,42.75,lat42.75lon-72.25,PHA,geo,16-Jan-16,18-Jan-16,26-Jan-16,geo
2,-68.75,45.25,lat45.25lon-68.75,PHO,geo,16-Jan-16,18-Jan-16,27-Jan-16,geo
3,-89.75,46.25,lat46.25lon-89.75,PUN,geo,16-Jan-16,18-Jan-16,25-Jan-16,geo
4,-94.75,46.25,lat46.25lon-94.75,PBL,geo,16-Jan-16,18-Jan-16,26-Jan-16,geo
5,-95.25,47.25,lat47.25lon-95.25,PDL,geo,16-Apr-16,23-Apr-16,2-May-16,geo
6,-82.75,43.75,lat43.75lon-82.75,PMB,geo,16-Apr-16,16-Apr-16,24-Apr-16,geo
7,-97.25,37.75,lat37.75lon-97.25,10-degree,geo,15-Apr-16,21-Apr-16,27-Apr-16,geo
8,-87.25,37.75,lat37.75lon-87.25,10-degree,geo,15-Apr-16,20-Apr-16,25-Apr-16,geo
9,-77.25,37.75,lat37.75lon-77.25,10-degree,geo,17-Apr-16,22-Apr-16,27-Apr-16,geo
10,-97.25,47.75,lat47.75lon-97.25,10-degree,geo,17-Apr-16,23-Apr-16,2-May-16,geo
11,-77.25,47.75,lat47.75lon-77.25,10-degree,geo,18-Apr-16,24-Apr-16,4-May-16,geo
12,-67.25,47.75,lat47.75lon-67.25,10-degree,geo,17-Apr-16,23-Apr-16,1-May-16,geo
13,-92.25,42.75,lat42.75lon-92.25,5-degree,geo,17-Apr-16,22-Apr-16,28-Apr-16,geo
14,-82.25,42.75,lat42.75lon-82.25,5-degree,geo,17-Apr-16,21-Apr-16,28-Apr-16,geo
15,-92.25,37.75,lat37.75lon-92.25,5-degree,geo,24-Feb-16,3-Mar-16,9-Mar-16,geo
16,-82.25,37.75,lat37.75lon-82.25,5-degree,geo,24-Feb-16,3-Mar-16,17-Apr-16,geo
17,-97.25,42.75,lat42.75lon-97.25,5-degree,geo,24-Feb-16,2-Mar-16,22-Apr-16,geo
18,-77.25,42.75,lat42.75lon-77.25,5-degree,geo,31-Jan-16,4-Feb-16,18-Apr-16,geo
19,-92.25,47.75,lat47.75lon-92.25,5-degree,geo,31-Jan-16,4-Feb-16,2-May-16,geo
20,-82.25,47.75,lat47.75lon-82.25,5-degree,geo,31-Jan-16,2-Feb-16,30-Apr-16,geo
21,-72.25,47.75,lat47.75lon-72.25,5-degree,geo,31-Jan-16,4-Feb-16,24-Apr-16,geo
22,-99.75,35.25,lat35.25lon-99.75,2.5-degree,geo,31-Jan-16,6-Feb-16,18-Apr-16,geo
23,-94.75,35.25,lat35.25lon-94.75,2.5-degree,geo,31-Jan-16,2-Feb-16,23-Feb-16,geo
24,-89.75,35.25,lat35.25lon-89.75,2.5-degree,geo,3-Feb-16,1-Mar-16,18-Apr-16,geo
